City,Community,Pincode,Active Registrations,Lat,Lon,,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025,March-2024,April-2024,May-2024,June-2024,July-2024,August-2024,September-2024,October-2024,November-2024,December-2024,January-2025,February-2025,March-2025,April-2025,May-2025,June-2025,July-2025,August-2025
Bangalore,C0033,560082,41,12.8543147,77.5099453,,184,208.2,201.2,174.6,199.1,161.8,221.6,161.8,168,191,125,140.2,268.6,130,172.7,261.3,168.3,124.7,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,50,52,55
Bangalore,C0034,560062,45,12.8921581,77.5647927,,135.2,120.6,93.5,122.7,169.5,154.4,158.1,152.7,93.3,107.8,131,100.8,132.6,105.7,97.4,158.3,129.2,118.9,32,32,53,58,51,53,55,53,51,55,29,31,27,31,35,33,35,32
Bangalore,C0035,560103,91,12.9577519,77.6566695,,178.1,198.4,145,177.6,261.1,192.5,205.8,196.5,184.3,247,170.5,175.4,213.8,153.7,139.4,155,96.9,100.9,36,36,46,46,46,44,43,43,43,42,42,43,40,42,37,35,37,38
Bangalore,C0036,560075,65,12.975405,77.665324,,93.9,104.9,98.4,80.6,70.3,112,90,111.4,95,98.4,113.4,86.1,82.2,87.1,84.8,69.2,92.5,100.1,71,61,39,28,22,28,17,33,22,33,17,28,33,39,22,20,22,27
Bangalore,C0037,560077,26,13.05559,77.666821,,241.3758929,252.6042614,,115.3,135.5,179.2,120.1,160.6,126.1,134.1,161.5,117.5,97.2,97.4,122.1,123.4,127.7,86.4,0,0,0,45,44,44,42,43,43,41,38,41,38,41,42,43,42,41
Bangalore,C0038,560018,18,12.957458,77.563882,,89.5,71.1,111.6,101.5,107.1,74.2,67.2,91.5,117.6,81.7,99,80,89.2,107.2,76.2,85.2,157.4,85.3,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,37,39,47
Bangalore,C0039,560091,37,12.9815799,77.5268296,,98.9,73,107.9,88.6,88,126.6,55.9,72,64.1,49.1,75.6,88.7,62.6,96.3,86.1,52.3,91.8,62.9,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,50,52,55
Bangalore,C0040,560100,16,12.861416,77.6602721,,52.9,16.7,27,25,56.6,78.9,59.6,60.3,55.5,74.3,58.1,53,50.6,108.6,79.5,56.9,73.5,49.5,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,19,21,23
Bangalore,C0041,560068,11,12.9121181,77.6445548,,36.5,37,54.4,38.8,73.4,28.4,33.8,38,6.7,43.6,38.5,36.6,73.3,53.4,31.4,40,34.9,37.7,60,53,34,31,41,31,38,31,31,31,31,31,28,25,19,21,19,22
Bangalore,C0042,560048,28,12.9797157,77.7116579,,35.2,23,33.6,27.6,37.6,53.3,34.7,37.7,65.8,63.3,149.6,83.2,142.6,41.2,53.8,19.2,51.1,36.9,60,53,34,31,41,31,38,31,31,31,31,31,28,25,19,17,19,22
Bangalore,C0043,560035,15,12.8983407,77.6728425,,34.4,42.7,17.8,43.7,34.3,14.7,32.3,33.7,14,27.3,35.7,22.1,32.8,28.9,32.5,27.5,34.3,19.5,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,22,20,23
Bangalore,C0044,560017,59,12.9591187,77.6516483,,67.3,43.5,61.6,45.2,42.8,42,45.7,40.8,101.8,5.3,76.2,63.2,27.1,44,47.8,43.7,54.9,18.9,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,23,21,24
Chennai,C0045,600127,1854,12.8362127,80.1718126,,1912.1,2276.8,3110.7,2677.8,2954.7,4483.8,3940.3,5266,4261.9,4612,4859.7,4120.5,4218.5,5284.4,3554.1,4194.8,5591.2,5442.5,71,61,38,65,29,64,66,67,67,63,60,60,63,58,52,53,51,55
Chennai,C0046,600010,377,13.0881494,80.250468,,262.4,179.5,201,305.8,303.2,437.4,337.7,392.3,365.4,385.3,340.2,361.7,400.9,306.9,398.3,436.6,592.9,797.2,60,53,34,31,41,31,38,31,31,31,31,31,28,25,19,21,20,23
Chennai,C0047,600131,169,12.8905501,80.2030599,,241.3758929,252.6042614,,,,,,,,,,,,,,,951.9,705.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40
Chennai,C0048,600130,132,12.8687935,80.1970374,,354,323,396.3,396.9,383.9,489.8,383.7,458.1,562.5,416,663.3,412.9,456.8,390.2,500.2,540.5,619.1,477.3,37,38,57,48,48,39,61,46,54,54,58,58,64,54,39,41,39,47
Chennai,C0049,600004,109,13.0367914,80.2676303,,341.7,510.3,331.6,327,446.3,358.1,367.7,524.2,390.2,514.9,376.9,354.8,403.8,495.9,355.5,362.5,469.9,476,43,37,39,28,22,28,17,33,22,33,17,28,33,39,22,24,23,28
Chennai,C0050,600028,157,13.0243119,80.2615779,,84.3,85.2,72.5,87.1,166.5,174.4,172.6,335.3,240.3,289.2,231,238,212.2,270,229.1,572.3,632.8,449.6,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,22,21,24
Chennai,C0051,600100,142,12.9302586,80.1900947,,265,370.7,438,374.2,358,514.4,406.7,416.9,521.7,417.6,553.1,330.3,418.2,389.1,451.4,384.1,524.8,389.7,28,44,33,37,32,36,36,27,29,26,26,23,27,27,21,19,21,23
Chennai,C0052,600116,172,13.0439218,80.1574825,,302.6,334.9,474.2,331.8,369.4,320,351.2,380,296.8,331.1,419.8,333.1,303,465.2,305,435.3,562.1,311.2,62,62,45,47,53,49,53,56,44,42,47,49,51,47,40,38,40,43
